Straight thrust,right gedan barai, side armbreak, right yoko tettsui, left shotei,,
Straight thrust,right gedan barai, elbow break, right shotei, kosoto, rear kneelingbar, barflex
Straight thrust,right gedan barai, elbow break, right and left shotei, reverse hadake, tettsui smash,
Straight thrust,left gedan barai, up elbow break, mae geri, tettsui,,
Straight thrust,left gedan barai, right arm sakotsu, left gohon, left mai geri, left sakotsu high,
Straight thrust,left gedan barai, right arm chop, left gohon, right cross shuto, hittsui,
Straight thrust,soto ude uke double (outside), elbow break (right under), right mawashi geri, osoto, fumi komi ribs,
Straight thrust,soto ude uke, elbow break, right kage face, left kidney shuto, kosoto,
Straight thrust,soto ude uke, left armbreak, right shotei, left kage ribs, osoto,
upwards knife thrust,gedan juji uke (forward armbreak), right mai geri, right tettsui, cross twist (to mat),,
upwards knife thrust,gedan juji uke (forward armbreak), right mai geri, right collarbone sakotsu, reverse armbar,,
cross slash tensho grab, double soto ude uke, armbreak submit, kosoto, rear kneelingbar,,
overhead knife stab,jodan juji uke, jodan tettsui, elbow break, hiji-bodyslam,,
Side knife slash,double inside uke, rear right hiji, ippon seoi, fumi komi (axilla),,
draws pocket knife,left gedan barai, upwards armbreak, left face shotei,,,
Straight thrust,right yoko geri, wrist twist, fumi komi ribs, yubi tori,,
Straight thrust,left gedan shuto, right arm sakotsu, crosstwist, mai geri, sakotsu, flex comealong
Straight thrust,parry, armbreak, right yoko haitto face, hadake jime,,,
Straight thrust,parry, right arm sakotsu, nelson strangle,,,
Straight thrust,parry, armbreak, right yoko haitto face, hittsui, inside armtwist,,
Straight thrust,parry, armbreak, right yoko haitto face, ude tori, otoshi, fumi komi ribs, yubi tori
[...]
[General Notes:]
[Twist the strike at the end (noted especially on shotei)]
[Elbow break (right under) puts the right arm under]
[On reverse armbar pull the arm to keep it straight (pulling with right towards left back)]
["Hiji-bodyslam" is not "hiji, and then, bodyslam". It is doing the bodyslam with the left elbow pushing down into ukeâ€™s chest.]
[gohon should come rising upwards]
